time,match,side,line,odd,tag,status
2026-01-27 03:00:00,Everton-Leeds United,XỈU,2.5,1.7,❄️ TIỀN ÉP XỈU,WAITING
2026-01-27 02:45:00,Hellas Verona-Udinese,DƯỚI,0.0,1.83,🛡️ BẪY DỤ TRÊN (Thứ hạng ảo),WAITING
2026-01-27 03:00:00,Everton-Leeds United,XỈU,2.5,1.71,❄️ TIỀN ÉP XỈU,WAITING
2026-01-27 02:45:00,Hellas Verona-Udinese,DƯỚI,0.0,1.83,🛡️ BẪY THỨ HẠNG (DỤ TRÊN),WAITING
