match_id,old_odd,last_update
1. FC Köln_VfL Wolfsburg_totals_Under_3.0,1.97,2026-01-30 18:04:31.276663
Espanyol_Alavés_h2h_Alavés_0,4.45,2026-01-30 19:56:32.045324
Espanyol_Alavés_h2h_Espanyol_0,1.91,2026-01-30 19:56:32.048518
Espanyol_Alavés_h2h_Draw_0,3.1,2026-01-30 19:56:32.050929
Bristol City_Derby County_h2h_Bristol City_0,2.04,2026-01-30 19:56:32.054417
Bristol City_Derby County_h2h_Derby County_0,3.7,2026-01-30 19:56:32.056890
Bristol City_Derby County_h2h_Draw_0,3.25,2026-01-30 19:56:32.059316
Bristol City_Derby County_totals_Over_2.5,2.04,2026-01-30 19:56:32.061641
Bristol City_Derby County_totals_Under_2.5,1.75,2026-01-30 19:56:32.063986
Vitória SC_Moreirense FC_h2h_Moreirense FC_0,4.3,2026-01-30 19:56:32.806433
Vitória SC_Moreirense FC_h2h_Vitória SC_0,1.85,2026-01-30 19:56:32.809066
Vitória SC_Moreirense FC_h2h_Draw_0,3.2,2026-01-30 19:56:32.811446
Vitória SC_Moreirense FC_totals_Over_2.5,2.17,2026-01-30 19:56:32.813797
Vitória SC_Moreirense FC_totals_Under_2.5,1.6,2026-01-30 19:56:32.816180
Universidad de Chile_Audax Italiano_h2h_Audax Italiano_0,6.25,2026-01-30 19:56:33.441877
Universidad de Chile_Audax Italiano_h2h_Universidad de Chile_0,1.32,2026-01-30 19:56:33.444434
Universidad de Chile_Audax Italiano_h2h_Draw_0,3.9,2026-01-30 19:56:34.066878
Puebla_Toluca_h2h_Puebla_0,5.4,2026-01-30 19:56:34.070633
Puebla_Toluca_h2h_Toluca_0,1.46,2026-01-30 19:56:34.073064
Puebla_Toluca_h2h_Draw_0,3.95,2026-01-30 19:56:34.690886
Pumas_Santos Laguna_h2h_Pumas_0,1.56,2026-01-30 19:56:34.694633
Pumas_Santos Laguna_h2h_Santos Laguna_0,4.8,2026-01-30 19:56:35.326420
Pumas_Santos Laguna_h2h_Draw_0,4.2,2026-01-30 19:56:35.329012
FC Juárez_Cruz Azul_h2h_Cruz Azul_0,1.92,2026-01-30 19:56:35.332587
FC Juárez_Cruz Azul_h2h_FC Juárez_0,3.3,2026-01-30 19:56:35.334983
FC Juárez_Cruz Azul_h2h_Draw_0,3.35,2026-01-30 19:56:35.337387
Newcastle Jets FC_Brisbane Roar_h2h_Brisbane Roar_0,3.25,2026-01-30 19:56:35.340940
Newcastle Jets FC_Brisbane Roar_h2h_Newcastle Jets FC_0,1.85,2026-01-30 19:56:35.343348
Newcastle Jets FC_Brisbane Roar_h2h_Draw_0,3.65,2026-01-30 19:56:35.345766
Sydney FC_Western Sydney Wanderers_h2h_Sydney FC_0,2.6,2026-01-31 07:20:53.331528
Sydney FC_Western Sydney Wanderers_h2h_Western Sydney Wanderers_0,2.3,2026-01-31 07:20:53.335309
Sydney FC_Western Sydney Wanderers_h2h_Draw_0,3.4,2026-01-31 07:20:53.338301
Perth Glory_Auckland FC_h2h_Auckland FC_0,1.9,2026-01-31 07:20:53.343114
Perth Glory_Auckland FC_h2h_Perth Glory_0,3.45,2026-01-31 07:20:53.346075
Perth Glory_Auckland FC_h2h_Draw_0,3.35,2026-01-31 07:20:53.349095
Alanyaspor_Eyüpspor_h2h_Alanyaspor_0,1.47,2026-01-31 07:20:53.353929
Alanyaspor_Eyüpspor_h2h_Eyüpspor_0,6.5,2026-01-31 07:20:53.356881
Alanyaspor_Eyüpspor_h2h_Draw_0,4.1,2026-01-31 07:20:53.359877
Alanyaspor_Eyüpspor_totals_Over_2.5,1.8,2026-01-31 07:20:53.362846
Alanyaspor_Eyüpspor_totals_Under_2.5,1.88,2026-01-31 07:20:53.365807
Eintracht Braunschweig_Karlsruher SC_h2h_Eintracht Braunschweig_0,2.15,2026-01-31 07:20:53.370700
Eintracht Braunschweig_Karlsruher SC_h2h_Karlsruher SC_0,3.3,2026-01-31 07:20:53.373642
Eintracht Braunschweig_Karlsruher SC_h2h_Draw_0,3.4,2026-01-31 07:20:53.376620
Eintracht Braunschweig_Karlsruher SC_totals_Over_2.5,1.77,2026-01-31 07:20:53.379566
Eintracht Braunschweig_Karlsruher SC_totals_Under_2.5,2.0,2026-01-31 07:20:53.382501
VfL Bochum_FC Schalke 04_h2h_FC Schalke 04_0,3.2,2026-01-31 07:20:53.387472
VfL Bochum_FC Schalke 04_h2h_VfL Bochum_0,2.35,2026-01-31 07:20:53.390416
VfL Bochum_FC Schalke 04_h2h_Draw_0,3.1,2026-01-31 07:20:53.393372
VfL Bochum_FC Schalke 04_totals_Over_2.5,2.05,2026-01-31 07:20:53.396296
VfL Bochum_FC Schalke 04_totals_Under_2.5,1.75,2026-01-31 07:20:53.399218
Holstein Kiel_Greuther Fürth_h2h_Greuther Fürth_0,5.2,2026-01-31 07:20:53.404047
Holstein Kiel_Greuther Fürth_h2h_Holstein Kiel_0,1.6,2026-01-31 07:20:53.407002
Holstein Kiel_Greuther Fürth_h2h_Draw_0,4.1,2026-01-31 07:20:53.906760
Holstein Kiel_Greuther Fürth_totals_Over_2.5,1.7,2026-01-31 07:20:53.909844
Holstein Kiel_Greuther Fürth_totals_Under_2.5,2.1,2026-01-31 07:20:53.912772
Wimbledon_Bolton Wanderers_h2h_Bolton Wanderers_0,1.88,2026-01-31 07:20:53.917644
Wimbledon_Bolton Wanderers_h2h_Wimbledon_0,3.95,2026-01-31 07:20:53.920563
Wimbledon_Bolton Wanderers_h2h_Draw_0,3.3,2026-01-31 07:20:53.923443
Wimbledon_Bolton Wanderers_totals_Over_2.5,1.96,2026-01-31 07:20:53.926340
Wimbledon_Bolton Wanderers_totals_Under_2.5,1.73,2026-01-31 07:20:53.929332
Bradford City_Doncaster Rovers_h2h_Bradford City_0,2.3,2026-01-31 07:20:53.934077
Bradford City_Doncaster Rovers_h2h_Doncaster Rovers_0,2.95,2026-01-31 07:20:53.937028
Bradford City_Doncaster Rovers_h2h_Draw_0,3.35,2026-01-31 07:20:53.939965
Bradford City_Doncaster Rovers_totals_Over_2.5,1.85,2026-01-31 07:20:53.942931
Bradford City_Doncaster Rovers_totals_Under_2.5,1.82,2026-01-31 07:20:53.945841
Avellino_Cesena FC_h2h_Avellino_0,3.0,2026-01-31 13:50:40.719157
